FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost,IsActive,AgeAtStart
Kaeden,Vargas,2020-09-04,2021-04-17,Network Engineer,Harold Lee,kaeden.vargas@bilearner.com,TNS,Active,Contract,Zone A,Full-Time,N/A - Active,N/A - Active,Executive Office,Field Operations,1959-09-11,MA,Technician,Male,58737,Other,Divorced,Fully Meets,3,3866,2022-09-16,2,1,5,2022-12-04,Customer Service,Internal,Incomplete,New Rachelborough,Erica Brewer,4,993.08,False,60.0
Lena,Sandoval,2018-08-26,,Network Engineer,Heather Hill,lena.sandoval@bilearner.com,PYZ,Active,Part-Time,Zone B,Full-Time,N/A - Active,N/A - Active,Executive Office,Catv,1986-10-21,MA,Clerk,Male,5363,Other,Widowed,Fully Meets,3,3867,2022-10-31,5,3,3,2022-09-07,Communication Skills,External,Failed,Stewartbury,Angie Romero Dds,4,540.57,True,31.0
Adrien,Olsen,2019-08-17,,Network Engineer,Jasmine Smith,adrien.olsen@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,N/A - Active,N/A - Active,IT/IS,Finance & Accounting,2000-03-23,MA,Administrative,Male,51175,Hispanic,Widowed,Fully Meets,3,3868,2022-09-16,3,1,2,2022-09-27,Project Management,Internal,Completed,North Timothyland,Taylor Harrington,3,272.58,True,19.0
Damari,Brewer,2019-09-25,2020-02-07,It Support,Shawn Martin,damari.brewer@bilearner.com,NEL,Active,Full-Time,Zone A,Temporary,N/A - Active,N/A - Active,IT/IS,Field Operations,1977-10-06,MA,Drafter,Male,49132,Hispanic,Divorced,Fully Meets,3,3869,2023-07-01,1,4,2,2023-03-19,Project Management,External,Completed,Christophershire,Amanda Chase,2,905.51,False,41.0
Annalise,Gross,2023-03-11,2023-03-11,It Support,Mr. Todd Lawson,annalise.gross@bilearner.com,PL,Active,Contract,Zone B,Temporary,N/A - Active,N/A - Active,IT/IS,Project Management - Con,1966-11-23,MA,Laborer,Male,64853,Asian,Single,Fully Meets,3,3870,2023-02-13,1,5,1,2023-03-10,Technical Skills,External,Completed,Kevinville,Christopher Herring,1,919.25,False,56.0
Kamari,Mcgrath,2022-12-15,,It Support,Laura Sanchez,kamari.mcgrath@bilearner.com,BPC,Active,Full-Time,Zone B,Full-Time,N/A - Active,N/A - Active,IT/IS,General - Con,1971-05-06,MA,Lineman,Female,39859,White,Widowed,Fully Meets,3,3871,2023-07-15,4,5,2,2023-04-15,Technical Skills,External,Completed,West Christina,Pamela Acosta,5,979.98,True,51.0
Lorena,Rice,2018-08-10,2021-02-08,It Support,Jeffrey Ramos,lorena.rice@bilearner.com,CCDR,Active,Contract,Zone B,Part-Time,N/A - Active,N/A - Active,IT/IS,Engineers,1966-08-01,MA,Director,Female,48135,Asian,Single,Fully Meets,3,3872,2022-08-15,5,5,3,2023-02-26,Communication Skills,Internal,Completed,Davisville,Robert Gray,3,499.86,False,52.0
Eliezer,Stokes,2022-03-04,2023-06-22,Sr. Network Engineer,Patricia Johnson,eliezer.stokes@bilearner.com,NEL,Active,Full-Time,Zone B,Part-Time,N/A - Active,N/A - Active,IT/IS,Executive,1972-10-27,MA,General Manager,Male,41066,Hispanic,Widowed,Fully Meets,3,3873,2023-03-25,3,4,5,2023-03-10,Project Management,Internal,Completed,West Deborahville,Shane Jones,3,598.22,False,49.0
Aspen,Reyes,2020-06-02,,Sr. Network Engineer,Brandy Greer,aspen.reyes@bilearner.com,PL,Active,Part-Time,Zone C,Part-Time,N/A - Active,N/A - Active,IT/IS,General - Con,1997-10-22,CT,Laborer,Male,28613,Hispanic,Married,Fully Meets,3,3874,2022-01-10,4,4,5,2022-10-03,Project Management,External,Passed,Suzanneborough,Kristy Rodriguez,2,421.93,True,22.0
Rudy,Richardson,2021-06-29,,Sr. Network Engineer,Charles Velez,rudy.richardson@bilearner.com,BPC,Active,Contract,Zone A,Temporary,N/A - Active,N/A - Active,IT/IS,Underground,1969-08-23,CT,Laborer,Male,81215,Asian,Divorced,Fully Meets,3,3875,2023-02-02,5,5,1,2023-06-10,Leadership Development,External,Incomplete,Edwardshaven,Loretta Reynolds,2,860.22,True,51.0
Alana,Castro,2021-10-24,,Principal Data Architect,Deborah Bell,alana.castro@bilearner.com,CCDR,Active,Contract,Zone C,Temporary,N/A - Active,N/A - Active,IT/IS,General - Con,1954-05-30,MA,Lineman,Female,70578,Hispanic,Single,PIP,3,3876,2022-07-11,3,2,5,2022-11-10,Leadership Development,External,Failed,Crosschester,Gary Park,1,946.23,True,67.0
Oscar,Lopez,2018-10-22,2020-04-07,Network Engineer,Christian Ortega,oscar.lopez@bilearner.com,MSC,Active,Part-Time,Zone A,Full-Time,N/A - Active,N/A - Active,Executive Office,General - Con,1976-01-21,MA,Lineman,Male,81607,Asian,Single,PIP,3,3877,2023-06-30,3,3,4,2023-06-04,Communication Skills,External,Passed,Markhaven,Jeremy Townsend,1,888.55,False,42.0
Carter,Cook,2018-09-08,2021-08-23,Network Engineer,Michael Morton,carter.cook@bilearner.com,TNS,Active,Contract,Zone B,Part-Time,N/A - Active,N/A - Active,Executive Office,Engineers,1967-02-18,MA,Engineer,Male,69536,Other,Divorced,Fully Meets,3,3878,2023-02-23,4,4,1,2022-12-28,Customer Service,Internal,Passed,Fletchermouth,Nancy Lewis,5,749.69,False,51.0
Liam,Hanna,2019-02-08,2023-02-24,Network Engineer,Brian Aguirre,liam.hanna@bilearner.com,PYZ,Active,Full-Time,Zone C,Part-Time,N/A - Active,N/A - Active,IT/IS,Field Operations,1996-01-13,MA,Clerk,Male,16655,Hispanic,Married,Fully Meets,3,3879,2022-12-22,1,5,2,2023-04-11,Project Management,Internal,Incomplete,South Jeremyberg,Angel Mckinney,2,613.95,False,23.0
Zara,Pitts,2021-03-29,2021-06-27,Network Engineer,Richard Gonzalez,zara.pitts@bilearner.com,WBL,Active,Part-Time,Zone B,Temporary,N/A - Active,N/A - Active,IT/IS,General - Con,1973-05-15,MA,Clerical,Male,73726,Black,Single,Fully Meets,3,3880,2022-09-18,4,3,1,2022-09-25,Communication Skills,Internal,Completed,Randallport,Kyle Davis,3,934.92,False,47.0
Abby,Woodward,2019-06-19,,It Support,Karen Elliott,abby.woodward@bilearner.com,NEL,Active,Part-Time,Zone B,Part-Time,N/A - Active,N/A - Active,IT/IS,Field Operations,1992-12-11,MA,Laborer,Male,14181,Other,Divorced,Fully Meets,3,3881,2022-10-20,5,3,5,2022-10-25,Project Management,External,Failed,Edwardville,Beth Hughes,3,170.61,True,26.0
Litzy,Esparza,2019-01-30,,It Support,Kelly Bean,litzy.esparza@bilearner.com,PL,Active,Contract,Zone C,Part-Time,N/A - Active,N/A - Active,IT/IS,Wireless,1946-02-15,MA,Operator,Female,14438,Asian,Married,Fully Meets,3,3882,2022-09-19,5,3,3,2023-06-02,Customer Service,Internal,Completed,Blanchardton,Brandon Brown,2,654.09,True,72.0
Noemi,Brewer,2022-05-06,2022-09-26,It Support,Jacob Hamilton,noemi.brewer@bilearner.com,BPC,Active,Contract,Zone B,Full-Time,N/A - Active,N/A - Active,IT/IS,Field Operations,1991-06-16,MA,Administrator,Female,11294,White,Widowed,Fully Meets,3,3883,2023-03-13,2,2,1,2023-07-05,Communication Skills,Internal,Incomplete,North Erin,Alexandria Davis,2,842.6,False,30.0
Gilberto,Macdonald,2019-02-02,,It Support,Barbara Skinner,gilberto.macdonald@bilearner.com,CCDR,Active,Full-Time,Zone B,Temporary,N/A - Active,N/A - Active,IT/IS,Engineers,1987-04-27,MA,Engineer,Female,96985,Black,Widowed,Fully Meets,3,3884,2023-07-30,4,2,3,2022-09-17,Customer Service,External,Passed,Martinbury,Amy Garcia,1,789.88,True,31.0
Armando,Macias,2021-12-08,,Sr. Network Engineer,Aaron Oconnor,armando.macias@bilearner.com,EW,Active,Full-Time,Zone B,Part-Time,N/A - Active,N/A - Active,IT/IS,Engineers,1948-10-21,CT,Engineer,Female,93436,Black,Single,Fully Meets,3,3885,2023-07-30,5,5,5,2022-08-19,Communication Skills,External,Failed,Lindseyberg,Brian Brown,2,324.81,True,73.0
Britney,Kelly,2018-10-12,,Sr. Network Engineer,Christine Mcgee,britney.kelly@bilearner.com,MSC,Active,Part-Time,Zone B,Temporary,N/A - Active,N/A - Active,IT/IS,Wireless,1977-06-12,CT,Technician,Male,42646,Other,Single,Fully Meets,3,3886,2022-08-30,5,2,5,2022-11-28,Technical Skills,External,Passed,Lake Charlesborough,Dr. Allison Reese,4,298.1,True,41.0
Emanuel,Haas,2022-04-22,2023-05-15,Sr. Network Engineer,Jose Moran,emanuel.haas@bilearner.com,NEL,Leave of Absence,Contract,Zone B,Temporary,Retirement,Retirement - Standard Separation,IT/IS,General - Con,1954-06-24,CT,Flagger,Male,54502,White,Divorced,Exceeds,3,3887,2022-04-11,2,3,5,2023-07-25,Communication Skills,External,Failed,Millerville,Mark Lewis,1,181.23,False,67.0
Karlie,Drake,2021-09-05,2022-07-08,Principal Data Architect,Jimmy Beck,karlie.drake@bilearner.com,PL,Leave of Absence,Full-Time,Zone B,Full-Time,Retirement,Retirement - Standard Separation,IT/IS,Engineers,1987-06-20,MA,Engineer,Female,88391,Other,Divorced,Fully Meets,3,3888,2023-02-05,3,1,4,2022-12-21,Project Management,Internal,Completed,Laraside,Kevin Paul,4,287.18,False,34.0
Myla,Mullen,2022-09-05,2022-10-30,Network Engineer,Lisa Chase,myla.mullen@bilearner.com,TNS,Active,Contract,Zone B,Part-Time,N/A - Active,N/A - Active,Executive Office,General - Con,1982-10-15,MA,Foreman,Male,26421,Black,Single,Fully Meets,3,3889,2023-01-26,2,1,1,2023-08-02,Technical Skills,External,Incomplete,Courtneyville,Martha Clements,1,292.8,False,39.0
Alan,Holland,2022-07-19,2023-04-25,Network Engineer,Susan Livingston,alan.holland@bilearner.com,WBL,Active,Full-Time,Zone B,Temporary,N/A - Active,N/A - Active,IT/IS,General - Con,1999-08-20,MA,Foreman,Male,85660,Asian,Divorced,Fully Meets,3,3890,2022-10-24,2,3,3,2023-01-08,Project Management,External,Completed,North Rebeccafurt,Brian Salazar Ii,4,596.62,False,22.0
Brooklynn,Greene,2022-05-26,,Network Engineer,April Castillo,brooklynn.greene@bilearner.com,BPC,Active,Full-Time,Zone C,Temporary,N/A - Active,N/A - Active,IT/IS,Engineers,1960-04-07,MA,Engineer,Male,60107,Other,Single,Fully Meets,3,3891,2023-06-07,3,2,2,2023-04-08,Leadership Development,External,Passed,Carolbury,Amy Gomez,5,774.74,True,62.0
Maxwell,Mcpherson,2022-10-31,,Network Engineer,Diane James,maxwell.mcpherson@bilearner.com,CCDR,Active,Full-Time,Zone A,Full-Time,N/A - Active,N/A - Active,IT/IS,Engineers,1978-01-04,MA,Principal,Male,60831,Hispanic,Divorced,Fully Meets,3,3892,2023-11-07,5,4,2,2022-10-10,Technical Skills,External,Completed,South Tyler,Brad Hogan,5,894.59,True,44.0
Lukas,Freeman,2023-03-22,2023-07-28,It Support,Allison Shannon,lukas.freeman@bilearner.com,EW,Active,Full-Time,Zone B,Part-Time,N/A - Active,N/A - Active,IT/IS,General - Con,1953-04-15,MA,Laborer,Female,68298,Asian,Married,Fully Meets,3,3893,2023-01-26,3,1,2,2022-09-16,Leadership Development,External,Failed,Port Tracieview,Erin Jones,1,242.36,False,69.0
Yesenia,Nielsen,2023-05-29,,It Support,David Long,yesenia.nielsen@bilearner.com,MSC,Active,Full-Time,Zone A,Full-Time,N/A - Active,N/A - Active,IT/IS,Aerial,1959-02-03,MA,Lineman,Female,72913,Black,Married,Fully Meets,3,3894,2022-08-14,4,3,5,2022-12-02,Leadership Development,External,Failed,South Miguel,Roy Morales,4,533.27,True,64.0
Myah,Marsh,2020-02-23,2021-09-08,It Support,Kelly Hall,myah.marsh@bilearner.com,NEL,Active,Full-Time,Zone C,Full-Time,N/A - Active,N/A - Active,IT/IS,Splicing,1943-05-16,MA,Tester,Female,3137,Other,Single,Fully Meets,3,3895,2023-07-16,2,1,2,2023-04-22,Technical Skills,External,Completed,Robinsonmouth,Monica Johnson,1,983.77,False,76.0
Korbin,Gilbert,2019-08-13,2022-07-10,It Support,Rachel Sanchez,korbin.gilbert@bilearner.com,PL,Active,Part-Time,Zone B,Temporary,N/A - Active,N/A - Active,IT/IS,Engineers,1980-11-20,MA,Project Manager,Female,2618,Other,Widowed,Fully Meets,3,3896,2023-02-14,5,3,1,2023-04-06,Technical Skills,Internal,Passed,New Jessicatown,Sandra Poole,4,293.64,False,38.0
Jenna,Maddox,2019-03-25,2021-09-13,Sr. Network Engineer,Hector Singleton,jenna.maddox@bilearner.com,NEL,Active,Part-Time,Zone A,Part-Time,N/A - Active,N/A - Active,IT/IS,Aerial,1956-03-31,CT,Project Manager,Female,84396,Black,Married,Fully Meets,3,3897,2023-02-28,5,4,3,2023-08-04,Technical Skills,Internal,Incomplete,New Katherine,Kyle Wilson,3,380.61,False,62.0
Anaya,Preston,2018-12-14,2023-02-11,Sr. Network Engineer,Denise Oconnor,anaya.preston@bilearner.com,PL,Leave of Absence,Part-Time,Zone C,Temporary,Retirement,Retirement - Standard Separation,IT/IS,General - Con,1948-11-07,CT,Lineman,Male,83611,Asian,Single,Fully Meets,3,3898,2022-04-11,4,5,1,2022-11-21,Technical Skills,Internal,Failed,Lake Michael,Alexis Johnson,4,942.24,False,70.0
Eugene,Pena,2021-03-07,2021-08-31,Sr. Network Engineer,Ruben Cook,eugene.pena@bilearner.com,BPC,Leave of Absence,Contract,Zone B,Part-Time,Resignation,Resignation - Standard Separation,IT/IS,Engineers,1943-06-22,CT,Engineer,Female,88656,Other,Divorced,Fully Meets,3,3899,2023-04-02,4,5,4,2022-09-23,Customer Service,Internal,Failed,Singletonborough,Laura Hahn,2,662.56,False,77.0
Abel,Baker,2023-06-16,,Principal Data Architect,Amy Duncan,abel.baker@bilearner.com,CCDR,Active,Contract,Zone C,Full-Time,N/A - Active,N/A - Active,IT/IS,Field Operations,1995-09-26,MA,Field Technician,Female,79249,Asian,Single,Fully Meets,3,3900,2023-09-03,5,2,1,2023-05-02,Technical Skills,Internal,Passed,Brownstad,Anthony Smith,5,143.21,True,27.0
Deven,Merritt,2021-06-18,,Network Engineer,Anthony Cruz Md,deven.merritt@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,N/A - Active,N/A - Active,Executive Office,Project Management - Eng,1988-05-02,MA,Project Manager,Male,3921,Hispanic,Single,Fully Meets,3,3901,2023-10-07,1,2,5,2023-05-11,Customer Service,External,Failed,Port Randyfort,Linda Harris,1,876.73,True,33.0
Hadassah,Moran,2023-05-22,2023-06-16,Network Engineer,Michelle Perry,hadassah.moran@bilearner.com,MSC,Active,Contract,Zone B,Temporary,N/A - Active,N/A - Active,Executive Office,Wireline Construction,1964-02-06,MA,Groundman,Male,84876,Black,Single,Fully Meets,3,3902,2023-02-02,3,1,1,2023-01-11,Leadership Development,External,Failed,Mcdonaldshire,Shawn Rivera,4,768.05,False,59.0
Hezekiah,Thompson,2019-05-14,,Network Engineer,Victoria Shaw,hezekiah.thompson@bilearner.com,TNS,Active,Full-Time,Zone A,Full-Time,N/A - Active,N/A - Active,IT/IS,Field Operations,1993-07-21,MA,Driver,Male,66324,Hispanic,Single,Fully Meets,3,3903,2023-04-02,1,4,3,2023-06-01,Communication Skills,External,Incomplete,North Paulville,Nicole Sampson,4,153.15,True,25.0
Quintin,Fry,2020-12-27,,Network Engineer,Brad Lee,quintin.fry@bilearner.com,PYZ,Active,Contract,Zone A,Part-Time,N/A - Active,N/A - Active,IT/IS,Engineers,1970-03-03,MA,Engineer,Male,86510,Asian,Widowed,Fully Meets,3,3904,2022-09-13,4,4,1,2023-06-17,Project Management,External,Passed,Diazchester,Jeffrey Roberts,5,339.73,True,50.0
Alayna,Hess,2020-08-04,2022-02-04,Network Engineer,Todd Baker,alayna.hess@bilearner.com,WBL,Active,Full-Time,Zone A,Full-Time,N/A - Active,N/A - Active,IT/IS,Billable Consultants,1958-08-06,MA,Engineer,Female,48843,Black,Widowed,Fully Meets,3,3905,2023-12-06,5,5,5,2022-12-18,Project Management,Internal,Failed,West Christopher,Holly Stewart,3,233.22,False,61.0
Amaris,Miller,2020-08-25,,It Support,Samuel Padilla,amaris.miller@bilearner.com,NEL,Active,Contract,Zone C,Temporary,N/A - Active,N/A - Active,IT/IS,Wireline Construction,1975-05-09,MA,Splicer,Female,70797,Other,Married,Fully Meets,3,3906,2023-01-18,3,2,4,2023-02-19,Project Management,Internal,Completed,New Randy,Philip Flores,2,735.44,True,45.0
Barrett,Wilcox,2022-02-24,,It Support,Michael Wright,barrett.wilcox@bilearner.com,PL,Active,Full-Time,Zone A,Temporary,N/A - Active,N/A - Active,IT/IS,Engineers,1964-11-07,MA,Director,Female,6437,White,Married,Fully Meets,3,3907,2023-07-03,3,2,5,2022-12-06,Technical Skills,External,Incomplete,Port Gary,Lucas King,3,281.7,True,57.0
Kimberly,Watson,2019-08-06,2021-03-21,It Support,Bryan Foley,kimberly.watson@bilearner.com,BPC,Active,Part-Time,Zone C,Temporary,N/A - Active,N/A - Active,IT/IS,Splicing,1986-11-07,MA,Splicer,Female,92289,Black,Married,Needs Improvement,3,3908,2022-12-25,2,5,3,2022-09-20,Project Management,External,Failed,South Scott,Randy Baker,1,489.69,False,32.0
Rebecca,Park,2021-08-01,2021-09-24,It Support,April Anderson Md,rebecca.park@bilearner.com,CCDR,Active,Part-Time,Zone C,Part-Time,N/A - Active,N/A - Active,IT/IS,General - Eng,1944-05-26,MA,Administrative,Female,58900,Other,Married,Needs Improvement,3,3909,2023-05-18,1,1,2,2023-01-04,Project Management,Internal,Failed,Bennetthaven,John Patel,4,436.23,False,77.0
Caleb,Schneider,2022-07-13,2023-01-22,Sr. Network Engineer,Matthew Calderon Dds,caleb.schneider@bilearner.com,WBL,Active,Part-Time,Zone A,Part-Time,N/A - Active,N/A - Active,IT/IS,Wireless,1997-02-22,MA,Technician,Female,35673,White,Widowed,Needs Improvement,3,3910,2022-11-29,5,3,4,2023-05-07,Leadership Development,External,Incomplete,Haasstad,Wayne Ferguson,5,248.85,False,25.0
Vanessa,James,2021-05-28,,Sr. Network Engineer,Bryan Ramos,vanessa.james@bilearner.com,NEL,Active,Full-Time,Zone A,Part-Time,N/A - Active,N/A - Active,IT/IS,Splicing,1950-07-29,CT,Splicer,Male,68952,White,Widowed,Fully Meets,3,3911,2023-06-06,2,5,4,2022-09-09,Customer Service,External,Failed,Lake Tracyton,Barbara Stevenson,5,395.22,True,70.0
Maribel,Copeland,2020-07-06,2021-01-18,Sr. Network Engineer,Alan Harris,maribel.copeland@bilearner.com,PL,Leave of Absence,Part-Time,Zone C,Full-Time,Involuntary,Involuntary - Standard Separation,IT/IS,General - Con,1968-05-19,CT,Foreman,Male,97493,Hispanic,Widowed,Needs Improvement,3,3912,2023-07-23,1,3,4,2022-08-09,Leadership Development,External,Passed,Brittneystad,Christina Garcia,4,615.7,False,52.0
Henry,Zimmerman,2020-01-14,2022-06-08,Sr. Network Engineer,Rodney Hart,henry.zimmerman@bilearner.com,BPC,Leave of Absence,Full-Time,Zone A,Part-Time,Resignation,Resignation - Standard Separation,IT/IS,Project Management - Con,1942-02-06,MA,Purchasing,Female,69903,White,Married,Fully Meets,3,3913,2022-09-15,2,2,5,2022-11-28,Technical Skills,Internal,Failed,South Ian,Heather Hahn,4,387.35,False,77.0
Nathanial,Booth,2020-02-04,2021-01-29,Network Engineer,Jorge Mayo,nathanial.booth@bilearner.com,SVG,Active,Contract,Zone C,Temporary,N/A - Active,N/A - Active,Executive Office,Engineers,1958-07-22,MA,Project Manager,Male,9758,Other,Single,Exceeds,3,3914,2023-03-15,3,5,3,2023-02-24,Leadership Development,Internal,Failed,Smithhaven,Leslie Dyer,1,559.86,False,61.0
Rhys,Barry,2022-08-28,,Network Engineer,Kimberly Good,rhys.barry@bilearner.com,TNS,Active,Contract,Zone B,Part-Time,N/A - Active,N/A - Active,IT/IS,Field Operations,1991-03-05,MA,Foreman,Male,31391,Other,Widowed,Fully Meets,3,3915,2023-01-02,5,3,1,2023-04-01,Leadership Development,External,Completed,South Elizabethfort,Wendy Curry,2,602.21,True,31.0
Jonas,Rowland,2022-06-27,,Network Engineer,Stephanie Harris,jonas.rowland@bilearner.com,WBL,Active,Part-Time,Zone C,Temporary,N/A - Active,N/A - Active,IT/IS,Project Management - Con,1964-05-25,MA,Coordinator,Male,14939,Other,Widowed,Fully Meets,3,3916,2023-03-22,1,3,1,2023-03-16,Communication Skills,External,Passed,Callahanton,Margaret Walker,4,343.6,True,58.0
Chris,Vincent,2019-12-19,2023-03-31,Network Engineer,Ethan Allison,chris.vincent@bilearner.com,PYZ,Active,Part-Time,Zone C,Full-Time,N/A - Active,N/A - Active,IT/IS,General - Con,1993-11-04,MA,Technician,Female,89635,Black,Widowed,Exceeds,3,3917,2022-09-24,3,1,4,2023-03-28,Project Management,Internal,Failed,New Jacquelineland,Brandi Clark,3,328.89,False,26.0
Myah,Waller,2020-09-24,2023-03-27,Network Engineer,Christian Mullen,myah.waller@bilearner.com,WBL,Active,Contract,Zone A,Full-Time,N/A - Active,N/A - Active,IT/IS,Field Operations,1960-06-17,MA,Laborer,Female,48262,Asian,Widowed,Fully Meets,3,3918,2023-05-30,3,3,5,2022-10-10,Communication Skills,External,Completed,Cruztown,Richard Rodriguez,3,701.83,False,60.0
Yaritza,Sherman,2023-07-06,,It Support,Debra Oneal,yaritza.sherman@bilearner.com,NEL,Active,Contract,Zone C,Full-Time,N/A - Active,N/A - Active,IT/IS,Field Operations,1944-07-10,MA,Tower Hand,Female,42410,Asian,Divorced,Fully Meets,3,3919,2023-02-05,3,3,2,2023-07-28,Customer Service,External,Completed,Greenshire,Robert Barton,5,229.03,True,78.0
Haley,Weaver,2021-04-11,2022-12-19,It Support,Cynthia Willis,haley.weaver@bilearner.com,PL,Active,Full-Time,Zone A,Part-Time,N/A - Active,N/A - Active,IT/IS,Field Operations,1961-04-11,MA,Laborer,Female,62625,Other,Divorced,Fully Meets,3,3920,2022-11-14,2,1,4,2023-06-04,Customer Service,Internal,Failed,Bowmanberg,Shane Salazar,3,809.39,False,60.0
Alessandra,Lee,2020-02-12,2022-07-15,It Support,Lauren Douglas,alessandra.lee@bilearner.com,BPC,Active,Contract,Zone A,Part-Time,N/A - Active,N/A - Active,IT/IS,Splicing,1943-11-30,MA,Splicer,Female,56684,Other,Married,Fully Meets,3,3921,2023-06-30,4,3,2,2023-06-04,Customer Service,External,Completed,Lisaborough,Sandra Haney,5,393.54,False,76.0
Kaitlin,Hickman,2018-12-25,,It Support,Katherine Wright,kaitlin.hickman@bilearner.com,CCDR,Active,Part-Time,Zone A,Full-Time,N/A - Active,N/A - Active,IT/IS,General - Con,1996-04-10,MA,Lineman,Female,26513,White,Widowed,Fully Meets,3,3922,2023-02-15,5,3,1,2023-03-18,Communication Skills,External,Incomplete,Luisbury,Ariel Brown,1,629.74,True,22.0
Giancarlo,Juarez,2021-12-25,2023-06-19,Sr. Network Engineer,Jennifer Lester,giancarlo.juarez@bilearner.com,WBL,Active,Full-Time,Zone C,Part-Time,N/A - Active,N/A - Active,IT/IS,Aerial,1955-03-16,MA,Foreman,Female,26918,Hispanic,Single,Exceeds,3,3923,2022-10-27,2,4,3,2022-12-27,Project Management,External,Failed,South Bradley,Martin Brown,2,378.39,False,66.0
Walter,Zuniga,2021-05-22,,Sr. Network Engineer,Erin Tran,walter.zuniga@bilearner.com,NEL,Active,Full-Time,Zone B,Full-Time,N/A - Active,N/A - Active,IT/IS,General - Con,1993-04-27,CT,Technician,Male,86917,Other,Widowed,Fully Meets,3,3924,2022-07-11,2,4,5,2022-09-08,Customer Service,External,Passed,Deborahton,Jerry Carter,2,715.98,True,28.0
Anna,Jordan,2020-05-03,2022-11-14,Sr. Network Engineer,Bill Barnes,anna.jordan@bilearner.com,PL,Leave of Absence,Contract,Zone C,Part-Time,Resignation,Resignation - Standard Separation,IT/IS,General - Sga,1960-10-15,MA,Vp,Male,64495,Hispanic,Widowed,Fully Meets,3,3925,2023-04-27,1,3,3,2023-02-12,Leadership Development,Internal,Failed,Lake Regina,Jacob Forbes,1,386.55,False,59.0
Jeffery,Gamble,2019-02-27,,Sr. Network Engineer,Nicole Morales,jeffery.gamble@bilearner.com,BPC,Active,Full-Time,Zone C,Full-Time,N/A - Active,N/A - Active,IT/IS,Wireless,1941-12-16,MA,Supervisor,Female,47528,Hispanic,Single,Needs Improvement,3,3926,2023-07-15,4,1,4,2023-07-25,Customer Service,Internal,Incomplete,Blakeview,Sandra Ferrell,2,449.35,True,77.0
Misael,Hunter,2020-03-01,2022-03-05,Network Engineer,Gary Davidson,misael.hunter@bilearner.com,SVG,Active,Contract,Zone C,Temporary,N/A - Active,N/A - Active,Executive Office,Aerial,1982-12-10,MA,Lineman,Male,50639,Other,Single,Fully Meets,3,3927,2023-04-05,5,4,1,2023-03-05,Customer Service,External,Completed,South Ronaldburgh,Sergio Wheeler,2,878.67,False,37.0
Audrina,Yu,2021-01-27,2021-10-18,Network Engineer,Walter Powell,audrina.yu@bilearner.com,TNS,Active,Full-Time,Zone A,Temporary,N/A - Active,N/A - Active,IT/IS,General - Con,1956-11-07,MA,Laborer,Male,59834,White,Widowed,Fully Meets,3,3928,2023-04-01,4,2,1,2022-09-11,Leadership Development,Internal,Failed,Jenniferton,Devin Clark Md,1,799.99,False,64.0
Jeramiah,Foster,2023-06-18,2023-07-24,Network Engineer,Kimberly Wolf,jeramiah.foster@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,N/A - Active,N/A - Active,IT/IS,Wireline Construction,1977-04-20,MA,Clerk,Female,73645,Asian,Married,Fully Meets,3,3929,2022-10-28,2,5,2,2023-07-11,Technical Skills,Internal,Failed,Lake Williamfort,Jessica Reyes,3,617.52,False,46.0
Bruce,Wallace,2019-11-24,,Network Engineer,Patricia Andrews,bruce.wallace@bilearner.com,BPC,Active,Contract,Zone A,Part-Time,N/A - Active,N/A - Active,IT/IS,General - Con,1984-09-04,MA,Helper,Female,65218,Asian,Married,Fully Meets,3,3930,2023-06-05,4,4,4,2023-05-30,Leadership Development,External,Failed,Seanport,Crystal Henderson,5,522.86,True,35.0
Giovani,Nelson,2021-09-24,,Network Engineer,Michelle King,giovani.nelson@bilearner.com,CCDR,Active,Part-Time,Zone A,Temporary,N/A - Active,N/A - Active,IT/IS,Engineers,1960-06-26,MA,Drafter,Male,34001,Black,Widowed,Fully Meets,3,3931,2022-09-30,2,1,5,2022-11-12,Customer Service,External,Failed,Port Robynborough,Jordan Trevino,5,685.82,True,61.0
Ari,Anthony,2022-08-17,,It Support,Kenneth Rodriguez,ari.anthony@bilearner.com,EW,Active,Contract,Zone B,Full-Time,N/A - Active,N/A - Active,IT/IS,General - Eng,1965-04-21,MA,Billing,Female,23569,Black,Single,Fully Meets,3,3932,2023-06-23,5,5,4,2023-02-27,Technical Skills,Internal,Completed,East Daniel,Jonathon Smith,5,898.93,True,57.0
Laylah,Branch,2023-04-18,,It Support,Kevin Hudson,laylah.branch@bilearner.com,MSC,Active,Contract,Zone A,Part-Time,N/A - Active,N/A - Active,IT/IS,Engineers,1967-08-21,MA,Engineer,Female,46935,White,Married,Fully Meets,3,3933,2023-03-27,3,4,5,2022-08-23,Communication Skills,Internal,Incomplete,Juanchester,Adam Frye,1,559.55,True,55.0
